filename,rMean,gMean,bMean,rMedian,gMedian,bMedian,cluster_mean,cluster_median
../images/renamed/img_1.png,168.279776,135.848432,98.00896,167.0,135.0,97.0,0,2
../images/renamed/img_2.png,37.742672,35.104608,37.028656,37.0,35.0,37.0,1,0
../images/renamed/img_3.png,58.265536,36.597104,25.915936,57.0,35.0,25.0,1,0
../images/renamed/img_4.png,175.214608,148.070432,113.262528,171.0,141.0,102.0,0,2
../images/renamed/img_5.png,222.201744,214.047872,204.421712,222.0,214.0,205.0,2,1
../images/renamed/img_6.png,218.18824,187.968976,153.706256,222.0,192.0,155.0,2,1
../images/renamed/img_7.png,98.787152,58.130912,41.001184,98.0,56.0,39.0,1,0
../images/renamed/img_8.png,211.559296,183.180384,156.916576,212.0,184.0,157.0,2,1
../images/renamed/img_9.png,132.05008,84.193712,57.102336,129.0,79.0,53.0,1,0
../images/renamed/img_10.png,169.170128,134.825024,103.788368,172.0,137.0,106.0,0,2
../images/renamed/img_11.png,149.9112,138.192336,128.587424,151.0,139.0,129.0,0,2
../images/renamed/img_12.png,175.235552,149.24016,113.208112,176.0,150.0,113.0,0,2
../images/renamed/img_13.png,84.331712,72.03784,58.340768,84.0,71.0,59.0,1,0
../images/renamed/img_14.png,157.402496,136.116896,115.784448,158.0,136.0,117.0,0,2
../images/renamed/img_15.png,171.29824,125.751408,86.657088,171.0,123.0,85.0,0,2
../images/renamed/img_16.png,95.583168,81.981136,69.370784,95.0,81.0,69.0,1,0
../images/renamed/img_17.png,135.904832,99.587872,72.14424,136.0,99.0,72.0,0,2
../images/renamed/img_18.png,202.385264,187.691088,170.669136,203.0,188.0,171.0,2,1
../images/renamed/img_19.png,186.843472,163.794976,140.376176,187.0,164.0,140.0,2,1
../images/renamed/img_20.png,56.570656,45.083776,35.10576,58.0,46.0,36.0,1,0
../images/renamed/img_21.png,180.479792,175.381328,162.530208,181.0,176.0,163.0,2,1
../images/renamed/img_22.png,186.761072,172.60248,158.527424,187.0,173.0,159.0,2,1
../images/renamed/img_23.png,160.489936,150.640032,144.146384,160.0,150.0,144.0,0,2
../images/renamed/img_24.png,134.35496,94.693248,63.978128,136.0,97.0,66.0,1,2
../images/renamed/img_25.png,206.954224,194.71992,172.698384,207.0,195.0,173.0,2,1
../images/renamed/img_26.png,77.939376,49.789296,30.462,78.0,50.0,30.0,1,0
../images/renamed/img_27.png,110.830784,97.698208,87.566848,110.0,96.0,86.0,1,0
../images/renamed/img_28.png,83.2152,40.74464,21.933728,84.0,41.0,22.0,1,0
../images/renamed/img_29.png,84.912464,58.926976,33.597136,86.0,59.0,33.0,1,0
../images/renamed/img_30.png,98.294544,57.950624,40.998032,98.0,56.0,39.0,1,0
../images/renamed/img_31.png,86.861872,76.42392,64.139488,87.0,76.0,64.0,1,0
../images/renamed/img_32.png,112.206384,75.788928,48.4728,112.0,75.0,48.0,1,0
../images/renamed/img_33.png,203.868176,189.502016,174.347808,204.0,189.0,174.0,2,1
../images/renamed/img_34.png,136.749376,111.031184,82.925072,136.0,110.0,82.0,0,2
../images/renamed/img_35.png,209.721984,194.217632,180.978416,209.0,194.0,180.0,2,1
../images/renamed/img_36.png,196.704128,153.286016,106.27824,197.0,154.0,106.0,0,2
